date,ticker,skew,skew_definition,target_tenor_days,call_iv,put_iv,atm_iv,call_delta,put_delta,call_strike,put_strike,call_expiry,put_expiry,call_days_to_expiry,put_days_to_expiry
2025-04-16,UBER,0.12306199999999995,put_minus_call,30,0.479184,0.602246,,0.21394,-0.21778,82.5,65.0,2025-05-16,2025-05-16,30,30
2025-04-17,UBER,0.09805100000000005,put_minus_call,30,0.473643,0.571694,,0.272992,-0.220886,82.5,67.5,2025-05-16,2025-05-16,29,29
2025-04-21,UBER,0.094437,put_minus_call,30,0.490066,0.584503,,0.238792,-0.247804,82.0,66.0,2025-05-23,2025-05-23,32,32
2025-04-22,UBER,0.07616999999999996,put_minus_call,30,0.498089,0.574259,,0.248434,-0.237226,83.0,67.0,2025-05-23,2025-05-23,31,31
2025-04-23,UBER,0.09377699999999994,put_minus_call,30,0.46195,0.555727,,0.240743,-0.240696,82.0,67.0,2025-05-23,2025-05-23,30,30
2025-04-24,UBER,0.08589200000000002,put_minus_call,30,0.462112,0.548004,,0.258953,-0.237452,86.0,71.0,2025-05-23,2025-05-23,29,29
2025-04-25,UBER,0.07997999999999994,put_minus_call,30,0.45279,0.53277,,0.236894,-0.23949,86.0,71.0,2025-05-23,2025-05-23,28,28
2025-04-28,UBER,0.06389800000000001,put_minus_call,30,0.453897,0.517795,,0.274943,-0.258309,86.0,72.0,2025-05-30,2025-05-30,32,32
2025-04-29,UBER,0.057806000000000024,put_minus_call,30,0.448099,0.505905,,0.303513,-0.252065,86.0,73.0,2025-05-30,2025-05-30,31,31
2025-04-30,UBER,0.07308099999999995,put_minus_call,30,0.435651,0.508732,,0.223785,-0.238872,90.0,74.0,2025-05-30,2025-05-30,30,30
2025-05-01,UBER,0.065637,put_minus_call,30,0.44734,0.512977,,0.225351,-0.238948,90.0,74.0,2025-05-30,2025-05-30,29,29
2025-05-02,UBER,-0.0011140000000000039,put_minus_call,30,0.433121,0.432007,,0.260516,-0.232086,92.0,78.0,2025-05-30,2025-05-30,28,28
2025-05-05,UBER,0.08068600000000004,put_minus_call,30,0.436279,0.516965,,0.223827,-0.250281,95.0,78.0,2025-06-06,2025-06-06,32,32
2025-05-06,UBER,-0.03128599999999998,put_minus_call,30,0.446986,0.4157,,0.245781,-0.252758,95.0,80.0,2025-06-06,2025-06-06,31,31
2025-05-07,UBER,0.013054999999999983,put_minus_call,30,0.357257,0.370312,,0.265602,-0.228875,90.0,78.0,2025-06-06,2025-06-06,30,30
2025-05-08,UBER,0.012351,put_minus_call,30,0.361329,0.37368,,0.247799,-0.237443,89.0,77.0,2025-06-06,2025-06-06,29,29
2025-05-09,UBER,-0.0026470000000000105,put_minus_call,30,0.375845,0.373198,,0.272116,-0.254693,89.0,78.0,2025-06-06,2025-06-06,28,28
2025-05-12,UBER,0.022426999999999975,put_minus_call,30,0.357246,0.379673,,0.23543,-0.234205,96.0,82.0,2025-06-13,2025-06-13,32,32
2025-05-13,UBER,0.005543999999999993,put_minus_call,30,0.36699,0.372534,,0.236351,-0.248872,100.0,86.0,2025-06-13,2025-06-13,31,31
2025-05-14,UBER,-0.011043000000000025,put_minus_call,30,0.35919,0.348147,,0.310497,-0.241808,96.0,85.0,2025-06-13,2025-06-13,30,30
2025-05-15,UBER,0.00776300000000002,put_minus_call,30,0.351622,0.359385,,0.256911,-0.253969,97.0,85.0,2025-06-13,2025-06-13,29,29
2025-05-16,UBER,-0.003981000000000012,put_minus_call,30,0.357642,0.353661,,0.248346,-0.265817,99.0,87.0,2025-06-13,2025-06-13,28,28
2025-05-19,UBER,0.009157000000000026,put_minus_call,30,0.353172,0.362329,,0.254973,-0.256952,100.0,87.0,2025-06-20,2025-06-20,32,32
2025-05-20,UBER,0.018865999999999994,put_minus_call,30,0.348494,0.36736,,0.258856,-0.241542,99.0,86.0,2025-06-20,2025-06-20,31,31
2025-05-21,UBER,0.028364,put_minus_call,30,0.346843,0.375207,,0.234944,-0.245003,96.0,83.0,2025-06-20,2025-06-20,30,30
2025-05-22,UBER,0.021592999999999973,put_minus_call,30,0.350993,0.372586,,0.244319,-0.244097,95.0,82.5,2025-06-20,2025-06-20,29,29
2025-05-23,UBER,0.01685299999999995,put_minus_call,30,0.348602,0.365455,,0.264964,-0.245201,94.0,82.5,2025-06-20,2025-06-20,28,28
2025-05-27,UBER,0.012636000000000036,put_minus_call,30,0.354436,0.367072,,0.2598,-0.266163,96.0,84.0,2025-06-27,2025-06-27,31,31
2025-05-28,UBER,0.03343099999999999,put_minus_call,30,0.335588,0.369019,,0.238239,-0.260744,95.0,83.0,2025-06-27,2025-06-27,30,30
2025-05-29,UBER,0.029223,put_minus_call,30,0.372063,0.401286,,0.260326,-0.255323,91.0,79.0,2025-06-27,2025-06-27,29,29
2025-05-30,UBER,0.028677000000000008,put_minus_call,30,0.359044,0.387721,,0.23886,-0.253175,91.0,79.0,2025-06-27,2025-06-27,28,28
2025-06-02,UBER,0.01850999999999997,put_minus_call,30,0.353507,0.372017,,0.266796,-0.270745,90.0,79.0,2025-07-03,2025-07-03,31,31
2025-06-03,UBER,-0.017518000000000034,put_minus_call,30,0.361924,0.344406,,0.261216,-0.256832,89.0,78.0,2025-07-03,2025-07-03,30,30
2025-06-04,UBER,-0.024829999999999963,put_minus_call,30,0.393155,0.368325,,0.243985,-0.231979,91.0,78.0,2025-07-03,2025-07-03,29,29
2025-06-05,UBER,0.011126000000000025,put_minus_call,30,0.402713,0.413839,,0.253111,-0.247339,92.0,79.0,2025-07-03,2025-07-03,28,28
2025-06-06,UBER,0.009213000000000027,put_minus_call,30,0.365538,0.374751,,0.26048,-0.267395,92.0,81.0,2025-07-03,2025-07-03,27,27
2025-06-09,UBER,0.003294000000000019,put_minus_call,30,0.360188,0.363482,,0.235303,-0.25859,95.0,82.0,2025-07-11,2025-07-11,32,32
2025-06-10,UBER,0.036677000000000015,put_minus_call,30,0.362761,0.399438,,0.26702,-0.264068,93.0,81.0,2025-07-11,2025-07-11,31,31
2025-06-11,UBER,0.009274999999999978,put_minus_call,30,0.320979,0.330254,,0.237071,-0.262074,93.0,82.0,2025-07-11,2025-07-11,30,30
2025-06-12,UBER,0.009216000000000002,put_minus_call,30,0.339241,0.348457,,0.247535,-0.263191,92.0,81.0,2025-07-11,2025-07-11,29,29
2025-06-13,UBER,-0.02105800000000002,put_minus_call,30,0.349005,0.327947,,0.255953,-0.232476,90.0,79.0,2025-07-11,2025-07-11,28,28
2025-06-16,UBER,0.03053900000000004,put_minus_call,30,0.334053,0.364592,,0.225331,-0.25537,92.5,80.0,2025-07-18,2025-07-18,32,32
2025-06-17,UBER,0.032340000000000035,put_minus_call,30,0.337688,0.370028,,0.211559,-0.267927,92.5,80.0,2025-07-18,2025-07-18,31,31
2025-06-18,UBER,0.026930999999999983,put_minus_call,30,0.349366,0.376297,,0.246499,-0.224676,90.0,77.5,2025-07-18,2025-07-18,30,30
2025-06-20,UBER,0.040061999999999987,put_minus_call,30,0.354966,0.395028,,0.258908,-0.214014,90.0,77.5,2025-07-18,2025-07-18,28,28
2025-06-23,UBER,0.05942999999999998,put_minus_call,30,0.297313,0.356743,,0.247869,-0.25187,91.0,80.0,2025-07-25,2025-07-25,32,32
2025-06-24,UBER,0.019650999999999974,put_minus_call,30,0.345862,0.365513,,0.280414,-0.249014,98.0,86.0,2025-07-25,2025-07-25,31,31
2025-06-25,UBER,0.022984999999999978,put_minus_call,30,0.322469,0.345454,,0.233435,-0.260954,98.0,86.0,2025-07-25,2025-07-25,30,30
2025-06-26,UBER,0.017191999999999985,put_minus_call,30,0.325884,0.343076,,0.244663,-0.25321,100.0,88.0,2025-07-25,2025-07-25,29,29
2025-06-27,UBER,0.008769000000000027,put_minus_call,30,0.336958,0.345727,,0.258378,-0.232821,98.0,86.0,2025-07-25,2025-07-25,28,28
2025-06-30,UBER,-0.029569999999999985,put_minus_call,30,0.399686,0.370116,,0.248226,-0.239294,102.0,87.0,2025-08-01,2025-08-01,32,32
2025-07-01,UBER,-0.032084999999999975,put_minus_call,30,0.411919,0.379834,,0.24498,-0.243835,101.0,86.0,2025-08-01,2025-08-01,31,31
2025-07-02,UBER,-0.0047760000000000025,put_minus_call,30,0.391477,0.386701,,0.252823,-0.246642,100.0,86.0,2025-08-01,2025-08-01,30,30
2025-07-03,UBER,-0.0004629999999999912,put_minus_call,30,0.36217,0.361707,,0.249142,-0.250215,101.0,88.0,2025-08-01,2025-08-01,29,29
2025-07-07,UBER,-0.02590500000000001,put_minus_call,30,0.452925,0.42702,,0.298094,-0.230637,105.0,89.0,2025-08-08,2025-08-08,32,32
2025-07-08,UBER,0.02109799999999995,put_minus_call,30,0.441385,0.462483,,0.199032,-0.246938,110.0,90.0,2025-08-08,2025-08-08,31,31
2025-07-09,UBER,0.013680999999999999,put_minus_call,30,0.438381,0.452062,,0.28517,-0.261558,105.0,90.0,2025-08-08,2025-08-08,30,30
2025-07-10,UBER,-0.041264999999999996,put_minus_call,30,0.455544,0.414279,,0.253405,-0.254639,106.0,90.0,2025-08-08,2025-08-08,29,29
2025-07-11,UBER,0.018249000000000015,put_minus_call,30,0.433353,0.451602,,0.261207,-0.262788,104.0,89.0,2025-08-08,2025-08-08,28,28
2025-07-14,UBER,0.014799000000000007,put_minus_call,30,0.421296,0.436095,,0.210969,-0.262367,105.0,87.5,2025-08-15,2025-08-15,32,32
2025-07-15,UBER,0.025285999999999975,put_minus_call,30,0.419538,0.444824,,0.283692,-0.236488,100.0,85.0,2025-08-15,2025-08-15,31,31
2025-07-16,UBER,0.022812,put_minus_call,30,0.420988,0.4438,,0.236836,-0.274081,100.0,85.0,2025-08-15,2025-08-15,30,30
2025-07-17,UBER,0.0018489999999999895,put_minus_call,30,0.442342,0.444191,,0.239265,-0.278233,100.0,85.0,2025-08-15,2025-08-15,29,29
2025-07-18,UBER,0.013749000000000011,put_minus_call,30,0.434824,0.448573,,0.2311,-0.275606,100.0,85.0,2025-08-15,2025-08-15,28,28
2025-07-21,UBER,0.015233000000000052,put_minus_call,30,0.418573,0.433806,,0.257185,-0.262499,100.0,85.0,2025-08-22,2025-08-22,32,32
2025-07-22,UBER,0.01664899999999997,put_minus_call,30,0.417223,0.433872,,0.244126,-0.242683,101.0,85.0,2025-08-22,2025-08-22,31,31
2025-07-23,UBER,0.02739400000000003,put_minus_call,30,0.427863,0.455257,,0.245158,-0.240197,99.0,83.0,2025-08-22,2025-08-22,30,30
2025-07-24,UBER,0.005059999999999953,put_minus_call,30,0.442823,0.447883,,0.249905,-0.23852,100.0,84.0,2025-08-22,2025-08-22,29,29
2025-07-25,UBER,0.008474000000000037,put_minus_call,30,0.431034,0.439508,,0.250311,-0.250633,100.0,85.0,2025-08-22,2025-08-22,28,28
2025-07-28,UBER,0.011909000000000003,put_minus_call,30,0.416594,0.428503,,0.240313,-0.245987,100.0,84.0,2025-08-29,2025-08-29,32,32
2025-07-29,UBER,-0.004287000000000041,put_minus_call,30,0.434945,0.430658,,0.243978,-0.256643,96.0,81.0,2025-08-29,2025-08-29,31,31
2025-07-30,UBER,-0.00902799999999998,put_minus_call,30,0.444803,0.435775,,0.258275,-0.242278,96.0,81.0,2025-08-29,2025-08-29,30,30
2025-07-31,UBER,0.0069110000000000005,put_minus_call,30,0.462415,0.469326,,0.247557,-0.244964,97.0,81.0,2025-08-29,2025-08-29,29,29
2025-08-01,UBER,0.0035929999999999573,put_minus_call,30,0.462612,0.466205,,0.246995,-0.263122,96.0,81.0,2025-08-29,2025-08-29,28,28
2025-08-04,UBER,0.006749000000000005,put_minus_call,30,0.433794,0.440543,,0.24084,-0.251148,98.0,82.0,2025-09-05,2025-09-05,32,32
2025-08-05,UBER,0.0010870000000000046,put_minus_call,30,0.437447,0.438534,,0.240142,-0.251163,99.0,83.0,2025-09-05,2025-09-05,31,31
2025-08-06,UBER,-0.0036289999999999933,put_minus_call,30,0.339468,0.335839,,0.253246,-0.239304,96.0,84.0,2025-09-05,2025-09-05,30,30
2025-08-07,UBER,0.015815999999999997,put_minus_call,30,0.321182,0.336998,,0.259308,-0.266449,99.0,88.0,2025-09-05,2025-09-05,29,29
2025-08-08,UBER,-0.001695000000000002,put_minus_call,30,0.329143,0.327448,,0.249381,-0.256106,96.0,85.0,2025-09-05,2025-09-05,28,28
2025-08-11,UBER,-0.014840999999999993,put_minus_call,30,0.334675,0.319834,,0.237092,-0.266736,98.0,86.0,2025-09-12,2025-09-12,32,32
2025-08-12,UBER,-0.0030120000000000147,put_minus_call,30,0.308552,0.30554,,0.246314,-0.258805,98.0,87.0,2025-09-12,2025-09-12,31,31
2025-08-13,UBER,-0.024566000000000032,put_minus_call,30,0.343119,0.318553,,0.237787,-0.255723,98.0,86.0,2025-09-12,2025-09-12,30,30
2025-08-14,UBER,-0.0014320000000000443,put_minus_call,30,0.334614,0.333182,,0.244825,-0.241783,98.0,86.0,2025-09-12,2025-09-12,29,29
2025-08-15,UBER,0.0035159999999999636,put_minus_call,30,0.318979,0.322495,,0.251194,-0.257876,99.0,88.0,2025-09-12,2025-09-12,28,28
2025-08-18,UBER,0.008942000000000005,put_minus_call,30,0.322358,0.3313,,0.253593,-0.261076,101.0,89.0,2025-09-19,2025-09-19,32,32
2025-08-19,UBER,0.003053000000000028,put_minus_call,30,0.334414,0.337467,,0.240474,-0.252039,103.0,90.0,2025-09-19,2025-09-19,31,31
2025-08-20,UBER,0.01971299999999998,put_minus_call,30,0.321904,0.341617,,0.235479,-0.233516,101.0,88.0,2025-09-19,2025-09-19,30,30
2025-08-21,UBER,0.018120999999999998,put_minus_call,30,0.329296,0.347417,,0.254481,-0.253083,101.0,89.0,2025-09-19,2025-09-19,29,29
2025-08-22,UBER,0.02387900000000004,put_minus_call,30,0.317121,0.341,,0.262589,-0.234315,103.0,91.0,2025-09-19,2025-09-19,28,28
2025-08-25,UBER,-0.019295000000000007,put_minus_call,30,0.356072,0.336777,,0.234265,-0.242165,103.0,89.0,2025-09-26,2025-09-26,32,32
2025-08-26,UBER,0.003717999999999999,put_minus_call,30,0.332074,0.335792,,0.248127,-0.246155,104.0,91.0,2025-09-26,2025-09-26,31,31
2025-08-27,UBER,0.001707000000000014,put_minus_call,30,0.329605,0.331312,,0.265168,-0.245739,102.0,90.0,2025-09-26,2025-09-26,30,30
2025-08-28,UBER,0.010224999999999984,put_minus_call,30,0.31239,0.322615,,0.266893,-0.256855,102.0,91.0,2025-09-26,2025-09-26,29,29
2025-08-29,UBER,0.016471000000000013,put_minus_call,30,0.31658,0.333051,,0.257494,-0.260143,100.0,89.0,2025-09-26,2025-09-26,28,28
