date,ticker,expiry,option_type,strike,underlying_price,implied_volatility,delta,bid,ask,volume,open_interest
2025-01-03,AAPL,2025-02-04,C,158.06,149.12,0.231419,0.25,1.36,1.4,326,4933
2025-01-03,AAPL,2025-02-04,C,149.12,149.12,0.244293,0.5,1.43,1.48,423,4756
2025-01-03,AAPL,2025-02-04,P,149.12,149.12,0.244293,-0.5,1.44,1.48,136,4254
2025-01-03,AAPL,2025-02-04,P,140.17,149.12,0.257168,-0.25,1.51,1.56,62,618
2025-01-03,AAPL,2025-02-04,P,131.22,149.12,0.262317,-0.1,1.54,1.59,17,3433
2025-01-03,AAPL,2025-03-04,C,167.01,149.12,0.238756,0.1,1.4,1.44,48,2277
2025-01-03,AAPL,2025-03-04,C,158.06,149.12,0.242619,0.25,1.42,1.48,216,1483
2025-01-03,AAPL,2025-03-04,C,149.12,149.12,0.255493,0.5,1.5,1.55,158,2217
2025-01-03,AAPL,2025-03-04,P,149.12,149.12,0.255493,-0.5,1.5,1.55,258,4593
2025-01-03,AAPL,2025-03-04,P,140.17,149.12,0.268368,-0.25,1.57,1.63,272,561
2025-01-03,AAPL,2025-03-04,P,131.22,149.12,0.273517,-0.1,1.6,1.66,23,4397
2025-01-06,AAPL,2025-01-31,C,168.02,150.02,0.215652,0.1,1.27,1.32,22,541
2025-01-06,AAPL,2025-01-31,C,159.02,150.02,0.219176,0.25,1.29,1.35,12,3331
2025-01-06,AAPL,2025-01-31,C,150.02,150.02,0.230923,0.5,1.36,1.41,312,461
2025-01-06,AAPL,2025-01-31,P,150.02,150.02,0.230923,-0.5,1.36,1.41,431,154
2025-01-06,AAPL,2025-01-31,P,141.02,150.02,0.242671,-0.25,1.43,1.48,227,723
2025-01-06,AAPL,2025-01-31,P,132.02,150.02,0.247369,-0.1,1.46,1.51,404,999
2025-01-06,AAPL,2025-02-07,C,168.02,150.02,0.218452,0.1,1.28,1.34,145,3284
2025-01-06,AAPL,2025-02-07,C,159.02,150.02,0.221976,0.25,1.31,1.35,3,37
2025-01-06,AAPL,2025-02-07,C,150.02,150.02,0.233723,0.5,1.38,1.42,410,3033
2025-01-06,AAPL,2025-02-07,P,150.02,150.02,0.233723,-0.5,1.37,1.43,481,1200
2025-01-06,AAPL,2025-02-07,P,141.02,150.02,0.245471,-0.25,1.44,1.5,123,295
2025-01-06,AAPL,2025-02-07,P,132.02,150.02,0.250169,-0.1,1.47,1.53,484,4639
2025-01-06,AAPL,2025-03-07,C,168.02,150.02,0.229652,0.1,1.35,1.41,423,3493
2025-01-06,AAPL,2025-03-07,C,159.02,150.02,0.233176,0.25,1.37,1.43,223,210
2025-01-06,AAPL,2025-03-07,C,150.02,150.02,0.244923,0.5,1.45,1.49,57,633
2025-01-06,AAPL,2025-03-07,P,150.02,150.02,0.244923,-0.5,1.44,1.49,270,3728
2025-01-06,AAPL,2025-03-07,P,141.02,150.02,0.256671,-0.25,1.51,1.57,43,4257
2025-01-06,AAPL,2025-03-07,P,132.02,150.02,0.261369,-0.1,1.55,1.59,406,3675
2025-01-07,AAPL,2025-02-01,C,169.28,151.15,0.211015,0.1,1.25,1.3,50,3552
2025-01-07,AAPL,2025-02-01,C,160.22,151.15,0.214168,0.25,1.27,1.32,374,3061
2025-01-07,AAPL,2025-02-01,C,151.15,151.15,0.224678,0.5,1.34,1.38,36,3085
2025-01-07,AAPL,2025-02-01,P,151.15,151.15,0.224678,-0.5,1.34,1.38,110,4421
2025-01-07,AAPL,2025-02-01,P,142.08,151.15,0.235188,-0.25,1.39,1.45,206,873
2025-01-07,AAPL,2025-02-01,P,133.01,151.15,0.239392,-0.1,1.43,1.47,385,925
2025-01-07,AAPL,2025-02-08,C,169.28,151.15,0.213815,0.1,1.26,1.32,296,2298
2025-01-07,AAPL,2025-02-08,C,160.22,151.15,0.216968,0.25,1.28,1.34,127,3185
2025-01-07,AAPL,2025-02-08,C,151.15,151.15,0.227478,0.5,1.35,1.4,223,734
2025-01-07,AAPL,2025-02-08,P,151.15,151.15,0.227478,-0.5,1.35,1.4,271,1513
2025-01-07,AAPL,2025-02-08,P,142.08,151.15,0.237988,-0.25,1.41,1.46,269,3501
2025-01-07,AAPL,2025-02-08,P,133.01,151.15,0.242192,-0.1,1.44,1.49,221,4703
2025-01-07,AAPL,2025-03-08,C,169.28,151.15,0.225015,0.1,1.34,1.38,231,2546
2025-01-07,AAPL,2025-03-08,C,160.22,151.15,0.228168,0.25,1.36,1.4,456,2376
2025-01-07,AAPL,2025-03-08,C,151.15,151.15,0.238678,0.5,1.42,1.46,486,679
2025-01-07,AAPL,2025-03-08,P,151.15,151.15,0.238678,-0.5,1.42,1.47,47,1530
2025-01-07,AAPL,2025-03-08,P,142.08,151.15,0.249188,-0.25,1.48,1.53,393,3058
2025-01-07,AAPL,2025-03-08,P,133.01,151.15,0.253392,-0.1,1.51,1.56,485,2064
2025-01-08,AAPL,2025-02-02,C,166.66,148.81,0.210013,0.1,1.23,1.27,474,2945
2025-01-08,AAPL,2025-02-02,C,157.73,148.81,0.213587,0.25,1.25,1.29,460,189
2025-01-08,AAPL,2025-02-02,C,148.81,148.81,0.225499,0.5,1.32,1.37,239,2375
2025-01-08,AAPL,2025-02-02,P,148.81,148.81,0.225499,-0.5,1.32,1.36,48,2866
2025-01-08,AAPL,2025-02-02,P,139.88,148.81,0.237412,-0.25,1.39,1.44,295,3512
2025-01-08,AAPL,2025-02-02,P,130.95,148.81,0.242177,-0.1,1.42,1.47,293,3265
2025-01-08,AAPL,2025-02-09,C,166.66,148.81,0.212813,0.1,1.24,1.29,123,3939
2025-01-08,AAPL,2025-02-09,C,157.73,148.81,0.216387,0.25,1.26,1.31,99,2162
2025-01-08,AAPL,2025-02-09,C,148.81,148.81,0.228299,0.5,1.33,1.39,263,1809
2025-01-08,AAPL,2025-02-09,P,148.81,148.81,0.228299,-0.5,1.33,1.38,404,3686
2025-01-08,AAPL,2025-02-09,P,139.88,148.81,0.240212,-0.25,1.4,1.46,65,4606
2025-01-08,AAPL,2025-02-09,P,130.95,148.81,0.244977,-0.1,1.43,1.48,366,2606
2025-01-08,AAPL,2025-03-09,C,166.66,148.81,0.224013,0.1,1.31,1.36,123,1579
2025-01-08,AAPL,2025-03-09,C,157.73,148.81,0.227587,0.25,1.33,1.38,192,2475
2025-01-08,AAPL,2025-03-09,C,148.81,148.81,0.239499,0.5,1.4,1.45,28,369
2025-01-08,AAPL,2025-03-09,P,148.81,148.81,0.239499,-0.5,1.4,1.45,411,287
2025-01-08,AAPL,2025-03-09,P,139.88,148.81,0.251412,-0.25,1.47,1.52,283,1677
2025-01-08,AAPL,2025-03-09,P,130.95,148.81,0.256177,-0.1,1.5,1.55,365,1576
2025-01-09,AAPL,2025-02-03,C,164.91,147.24,0.194934,0.1,1.13,1.17,218,4137
2025-01-09,AAPL,2025-02-03,C,156.08,147.24,0.198533,0.25,1.14,1.2,208,1867
2025-01-09,AAPL,2025-02-03,C,147.24,147.24,0.210529,0.5,1.22,1.26,120,3008
2025-01-09,AAPL,2025-02-03,P,147.24,147.24,0.210529,-0.5,1.22,1.26,254,1830
2025-01-09,AAPL,2025-02-03,P,138.41,147.24,0.222525,-0.25,1.28,1.34,39,4977
2025-01-09,AAPL,2025-02-03,P,129.57,147.24,0.227323,-0.1,1.31,1.37,212,1561
2025-01-09,AAPL,2025-02-10,C,164.91,147.24,0.197734,0.1,1.14,1.19,72,3529
2025-01-09,AAPL,2025-02-10,C,156.08,147.24,0.201333,0.25,1.16,1.21,462,3208
2025-01-09,AAPL,2025-02-10,C,147.24,147.24,0.213329,0.5,1.24,1.28,337,1053
2025-01-09,AAPL,2025-02-10,P,147.24,147.24,0.213329,-0.5,1.23,1.28,233,827
2025-01-09,AAPL,2025-02-10,P,138.41,147.24,0.225325,-0.25,1.31,1.35,209,4183
2025-01-09,AAPL,2025-02-10,P,129.57,147.24,0.230123,-0.1,1.33,1.39,479,2784
2025-01-09,AAPL,2025-03-10,C,164.91,147.24,0.208934,0.1,1.2,1.26,401,4951
2025-01-09,AAPL,2025-03-10,C,156.08,147.24,0.212533,0.25,1.23,1.27,251,2246
2025-01-09,AAPL,2025-03-10,C,147.24,147.24,0.224529,0.5,1.3,1.35,164,409
2025-01-09,AAPL,2025-03-10,P,147.24,147.24,0.224529,-0.5,1.29,1.35,21,2174
2025-01-09,AAPL,2025-03-10,P,138.41,147.24,0.236525,-0.25,1.37,1.42,459,761
2025-01-09,AAPL,2025-03-10,P,129.57,147.24,0.241323,-0.1,1.4,1.44,122,4536
2025-01-10,AAPL,2025-02-04,C,165.08,147.4,0.227873,0.1,1.32,1.37,97,1467
2025-01-10,AAPL,2025-02-04,C,156.24,147.4,0.231776,0.25,1.34,1.39,497,2936
2025-01-10,AAPL,2025-02-04,C,147.4,147.4,0.244785,0.5,1.42,1.47,7,429
2025-01-10,AAPL,2025-02-04,P,147.4,147.4,0.244785,-0.5,1.42,1.47,420,4219
2025-01-10,AAPL,2025-02-04,P,138.55,147.4,0.257794,-0.25,1.49,1.55,278,3249
2025-01-10,AAPL,2025-02-04,P,129.71,147.4,0.262998,-0.1,1.52,1.58,397,3816
2025-01-10,AAPL,2025-02-11,C,165.08,147.4,0.230673,0.1,1.34,1.38,362,1839
2025-01-10,AAPL,2025-02-11,C,156.24,147.4,0.234576,0.25,1.36,1.41,440,1698
2025-01-10,AAPL,2025-02-11,C,147.4,147.4,0.247585,0.5,1.43,1.49,166,2418
2025-01-10,AAPL,2025-02-11,P,147.4,147.4,0.247585,-0.5,1.43,1.49,344,4261
2025-01-10,AAPL,2025-02-11,P,138.55,147.4,0.260594,-0.25,1.51,1.56,216,4548
2025-01-10,AAPL,2025-02-11,P,129.71,147.4,0.265798,-0.1,1.54,1.59,60,4252
2025-01-10,AAPL,2025-03-11,C,165.08,147.4,0.241873,0.1,1.4,1.45,291,2499
2025-01-10,AAPL,2025-03-11,C,156.24,147.4,0.245776,0.25,1.42,1.47,258,533
2025-01-10,AAPL,2025-03-11,C,147.4,147.4,0.258785,0.5,1.5,1.55,499,4587
2025-01-10,AAPL,2025-03-11,P,147.4,147.4,0.258785,-0.5,1.5,1.55,196,895
2025-01-10,AAPL,2025-03-11,P,138.55,147.4,0.271794,-0.25,1.58,1.63,158,966
2025-01-10,AAPL,2025-03-11,P,129.71,147.4,0.276998,-0.1,1.61,1.65,304,4638
2025-01-13,AAPL,2025-02-07,C,164.66,147.02,0.225719,0.1,1.3,1.35,72,2996
2025-01-13,AAPL,2025-02-07,C,155.84,147.02,0.230451,0.25,1.34,1.38,208,1397
2025-01-13,AAPL,2025-02-07,C,147.02,147.02,0.246226,0.5,1.42,1.48,263,3172
2025-01-13,AAPL,2025-02-07,P,147.02,147.02,0.246226,-0.5,1.42,1.48,401,3105
2025-01-13,AAPL,2025-02-07,P,138.2,147.02,0.262001,-0.25,1.52,1.57,492,3809
2025-01-13,AAPL,2025-02-07,P,129.37,147.02,0.268311,-0.1,1.55,1.61,258,3606
2025-01-13,AAPL,2025-02-14,C,164.66,147.02,0.228519,0.1,1.31,1.37,312,3912
2025-01-13,AAPL,2025-02-14,C,155.84,147.02,0.233251,0.25,1.34,1.4,38,579
2025-01-13,AAPL,2025-02-14,C,147.02,147.02,0.249026,0.5,1.44,1.49,404,2206
2025-01-13,AAPL,2025-02-14,P,147.02,147.02,0.249026,-0.5,1.44,1.49,480,3273
2025-01-13,AAPL,2025-02-14,P,138.2,147.02,0.264801,-0.25,1.53,1.59,54,4923
2025-01-13,AAPL,2025-02-14,P,129.37,147.02,0.271111,-0.1,1.57,1.62,410,3671
2025-01-13,AAPL,2025-03-14,C,164.66,147.02,0.239719,0.1,1.38,1.44,318,1738
2025-01-13,AAPL,2025-03-14,C,155.84,147.02,0.244451,0.25,1.42,1.46,149,214
2025-01-13,AAPL,2025-03-14,C,147.02,147.02,0.260226,0.5,1.5,1.56,481,2453
2025-01-13,AAPL,2025-03-14,P,147.02,147.02,0.260226,-0.5,1.5,1.56,430,2330
2025-01-13,AAPL,2025-03-14,P,138.2,147.02,0.276001,-0.25,1.59,1.65,121,2063
2025-01-13,AAPL,2025-03-14,P,129.37,147.02,0.282311,-0.1,1.63,1.69,325,433
2025-01-14,AAPL,2025-02-08,C,164.64,147.0,0.204533,0.1,1.17,1.23,133,4624
2025-01-14,AAPL,2025-02-08,C,155.82,147.0,0.210084,0.25,1.21,1.26,119,194
2025-01-14,AAPL,2025-02-08,C,147.0,147.0,0.228586,0.5,1.32,1.37,476,253
2025-01-14,AAPL,2025-02-08,P,147.0,147.0,0.228586,-0.5,1.32,1.37,465,3379
2025-01-14,AAPL,2025-02-08,P,138.18,147.0,0.247088,-0.25,1.43,1.48,328,3870
2025-01-14,AAPL,2025-02-08,P,129.36,147.0,0.254489,-0.1,1.47,1.53,370,3699
2025-01-14,AAPL,2025-02-15,C,164.64,147.0,0.207333,0.1,1.19,1.25,191,254
2025-01-14,AAPL,2025-02-15,C,155.82,147.0,0.212884,0.25,1.23,1.27,51,3113
2025-01-14,AAPL,2025-02-15,C,147.0,147.0,0.231386,0.5,1.33,1.39,222,32
2025-01-14,AAPL,2025-02-15,P,147.0,147.0,0.231386,-0.5,1.34,1.39,132,3389
2025-01-14,AAPL,2025-02-15,P,138.18,147.0,0.249888,-0.25,1.45,1.49,380,2012
2025-01-14,AAPL,2025-02-15,P,129.36,147.0,0.257289,-0.1,1.48,1.54,305,3361
2025-01-14,AAPL,2025-03-15,C,164.64,147.0,0.218533,0.1,1.26,1.31,208,4265
2025-01-14,AAPL,2025-03-15,C,155.82,147.0,0.224084,0.25,1.29,1.34,390,4268
2025-01-14,AAPL,2025-03-15,C,147.0,147.0,0.242586,0.5,1.4,1.45,355,2955
2025-01-14,AAPL,2025-03-15,P,147.0,147.0,0.242586,-0.5,1.4,1.45,58,1381
2025-01-14,AAPL,2025-03-15,P,138.18,147.0,0.261088,-0.25,1.51,1.56,433,946
2025-01-14,AAPL,2025-03-15,P,129.36,147.0,0.268489,-0.1,1.56,1.6,337,1716
2025-01-15,AAPL,2025-02-09,C,163.49,145.97,0.189319,0.1,1.08,1.13,267,4993
2025-01-15,AAPL,2025-02-09,C,154.73,145.97,0.19538,0.25,1.12,1.16,387,2045
2025-01-15,AAPL,2025-02-09,C,145.97,145.97,0.215584,0.5,1.24,1.28,60,2878
2025-01-15,AAPL,2025-02-09,P,145.97,145.97,0.215584,-0.5,1.23,1.29,427,3507
2025-01-15,AAPL,2025-02-09,P,137.21,145.97,0.235788,-0.25,1.35,1.4,31,1967
2025-01-15,AAPL,2025-02-09,P,128.46,145.97,0.243869,-0.1,1.39,1.45,110,2489
2025-01-15,AAPL,2025-02-16,C,163.49,145.97,0.192119,0.1,1.1,1.14,52,1833
2025-01-15,AAPL,2025-02-16,C,154.73,145.97,0.19818,0.25,1.14,1.18,176,1017
2025-01-15,AAPL,2025-02-16,C,145.97,145.97,0.218384,0.5,1.25,1.3,151,2271
2025-01-15,AAPL,2025-02-16,P,145.97,145.97,0.218384,-0.5,1.25,1.3,440,1723
2025-01-15,AAPL,2025-02-16,P,137.21,145.97,0.238588,-0.25,1.37,1.42,443,4796
2025-01-15,AAPL,2025-02-16,P,128.46,145.97,0.246669,-0.1,1.41,1.47,252,2708
2025-01-15,AAPL,2025-03-16,C,163.49,145.97,0.203319,0.1,1.16,1.21,174,4486
2025-01-15,AAPL,2025-03-16,C,154.73,145.97,0.20938,0.25,1.2,1.24,280,1633
2025-01-15,AAPL,2025-03-16,C,145.97,145.97,0.229584,0.5,1.31,1.37,153,2652
2025-01-15,AAPL,2025-03-16,P,145.97,145.97,0.229584,-0.5,1.31,1.37,108,2957
2025-01-15,AAPL,2025-03-16,P,137.21,145.97,0.249788,-0.25,1.43,1.49,13,1503
2025-01-15,AAPL,2025-03-16,P,128.46,145.97,0.257869,-0.1,1.48,1.53,150,1619
2025-01-16,AAPL,2025-02-10,C,164.67,147.03,0.217816,0.1,1.25,1.31,1,1423
2025-01-16,AAPL,2025-02-10,C,155.85,147.03,0.223683,0.25,1.29,1.34,126,3961
2025-01-16,AAPL,2025-02-10,C,147.03,147.03,0.24324,0.5,1.4,1.46,317,2197
2025-01-16,AAPL,2025-02-10,P,147.03,147.03,0.24324,-0.5,1.41,1.46,475,4973
2025-01-16,AAPL,2025-02-10,P,138.21,147.03,0.262798,-0.25,1.52,1.57,128,4075
2025-01-16,AAPL,2025-02-10,P,129.39,147.03,0.27062,-0.1,1.56,1.62,134,3940
2025-01-16,AAPL,2025-02-17,C,164.67,147.03,0.220616,0.1,1.28,1.32,86,2815
2025-01-16,AAPL,2025-02-17,C,155.85,147.03,0.226483,0.25,1.31,1.35,214,3268
2025-01-16,AAPL,2025-02-17,C,147.03,147.03,0.24604,0.5,1.42,1.48,389,2568
2025-01-16,AAPL,2025-02-17,P,147.03,147.03,0.24604,-0.5,1.42,1.47,70,188
2025-01-16,AAPL,2025-02-17,P,138.21,147.03,0.265598,-0.25,1.53,1.59,369,523
2025-01-16,AAPL,2025-02-17,P,129.39,147.03,0.27342,-0.1,1.59,1.63,26,1237
2025-01-16,AAPL,2025-03-17,C,164.67,147.03,0.231816,0.1,1.34,1.38,492,2281
2025-01-16,AAPL,2025-03-17,C,155.85,147.03,0.237683,0.25,1.37,1.42,395,1569
2025-01-16,AAPL,2025-03-17,C,147.03,147.03,0.25724,0.5,1.49,1.53,426,566
2025-01-16,AAPL,2025-03-17,P,147.03,147.03,0.25724,-0.5,1.49,1.54,388,312
2025-01-16,AAPL,2025-03-17,P,138.21,147.03,0.276798,-0.25,1.6,1.65,225,1043
2025-01-16,AAPL,2025-03-17,P,129.39,147.03,0.28462,-0.1,1.65,1.7,245,1976
2025-01-17,AAPL,2025-02-11,C,165.72,147.96,0.224088,0.1,1.31,1.35,145,569
2025-01-17,AAPL,2025-02-11,C,156.84,147.96,0.22954,0.25,1.33,1.39,82,16
2025-01-17,AAPL,2025-02-11,C,147.96,147.96,0.247712,0.5,1.44,1.49,138,2452
2025-01-17,AAPL,2025-02-11,P,147.96,147.96,0.247712,-0.5,1.44,1.49,205,2162
2025-01-17,AAPL,2025-02-11,P,139.08,147.96,0.265885,-0.25,1.55,1.6,234,4207
2025-01-17,AAPL,2025-02-11,P,130.21,147.96,0.273154,-0.1,1.59,1.64,115,1619
2025-01-17,AAPL,2025-02-18,C,165.72,147.96,0.226888,0.1,1.32,1.37,457,2404
2025-01-17,AAPL,2025-02-18,C,156.84,147.96,0.23234,0.25,1.35,1.4,167,1148
2025-01-17,AAPL,2025-02-18,C,147.96,147.96,0.250512,0.5,1.46,1.51,124,4652
2025-01-17,AAPL,2025-02-18,P,147.96,147.96,0.250512,-0.5,1.46,1.5,247,2309
2025-01-17,AAPL,2025-02-18,P,139.08,147.96,0.268685,-0.25,1.56,1.62,96,760
2025-01-17,AAPL,2025-02-18,P,130.21,147.96,0.275954,-0.1,1.61,1.65,160,699
2025-01-17,AAPL,2025-03-18,C,165.72,147.96,0.238088,0.1,1.38,1.44,45,56
2025-01-17,AAPL,2025-03-18,C,156.84,147.96,0.24354,0.25,1.42,1.46,408,166
2025-01-17,AAPL,2025-03-18,C,147.96,147.96,0.261712,0.5,1.53,1.57,353,3104
2025-01-17,AAPL,2025-03-18,P,147.96,147.96,0.261712,-0.5,1.53,1.57,45,2850
2025-01-17,AAPL,2025-03-18,P,139.08,147.96,0.279885,-0.25,1.63,1.68,344,4248
2025-01-17,AAPL,2025-03-18,P,130.21,147.96,0.287154,-0.1,1.68,1.72,141,4268
2025-01-20,AAPL,2025-02-14,C,165.81,148.04,0.243284,0.1,1.42,1.46,448,3866
2025-01-20,AAPL,2025-02-14,C,156.92,148.04,0.248287,0.25,1.44,1.5,146,1278
2025-01-20,AAPL,2025-02-14,C,148.04,148.04,0.264964,0.5,1.54,1.6,278,2277
2025-01-20,AAPL,2025-02-14,P,148.04,148.04,0.264964,-0.5,1.54,1.6,454,4923
2025-01-20,AAPL,2025-02-14,P,139.16,148.04,0.281641,-0.25,1.64,1.69,367,4067
2025-01-20,AAPL,2025-02-14,P,130.28,148.04,0.288312,-0.1,1.68,1.73,274,3998
2025-01-20,AAPL,2025-02-21,C,165.81,148.04,0.246084,0.1,1.43,1.48,148,1089
2025-01-20,AAPL,2025-02-21,C,156.92,148.04,0.251087,0.25,1.46,1.51,318,1595
2025-01-20,AAPL,2025-02-21,C,148.04,148.04,0.267764,0.5,1.56,1.61,431,158
2025-01-20,AAPL,2025-02-21,P,148.04,148.04,0.267764,-0.5,1.56,1.61,192,104
2025-01-20,AAPL,2025-02-21,P,139.16,148.04,0.284441,-0.25,1.66,1.71,329,3628
2025-01-20,AAPL,2025-02-21,P,130.28,148.04,0.291112,-0.1,1.7,1.75,151,3695
2025-01-20,AAPL,2025-03-21,C,165.81,148.04,0.257284,0.1,1.5,1.55,62,4451
2025-01-20,AAPL,2025-03-21,C,156.92,148.04,0.262287,0.25,1.53,1.58,118,638
2025-01-20,AAPL,2025-03-21,C,148.04,148.04,0.278964,0.5,1.63,1.67,335,3468
2025-01-20,AAPL,2025-03-21,P,148.04,148.04,0.278964,-0.5,1.63,1.67,397,2541
2025-01-20,AAPL,2025-03-21,P,139.16,148.04,0.295641,-0.25,1.72,1.78,133,29
2025-01-20,AAPL,2025-03-21,P,130.28,148.04,0.302312,-0.1,1.77,1.81,277,4965
2025-01-21,AAPL,2025-02-15,C,167.32,149.39,0.230102,0.1,1.35,1.4,286,4487
2025-01-21,AAPL,2025-02-15,C,158.36,149.39,0.23502,0.25,1.38,1.43,208,2685
2025-01-21,AAPL,2025-02-15,C,149.39,149.39,0.251413,0.5,1.48,1.53,91,1373
2025-01-21,AAPL,2025-02-15,P,149.39,149.39,0.251413,-0.5,1.48,1.52,224,2976
2025-01-21,AAPL,2025-02-15,P,140.43,149.39,0.267806,-0.25,1.58,1.62,172,3321
2025-01-21,AAPL,2025-02-15,P,131.47,149.39,0.274364,-0.1,1.61,1.67,95,100
2025-01-21,AAPL,2025-02-22,C,167.32,149.39,0.232902,0.1,1.37,1.42,78,1164
2025-01-21,AAPL,2025-02-22,C,158.36,149.39,0.23782,0.25,1.39,1.45,419,1275
2025-01-21,AAPL,2025-02-22,C,149.39,149.39,0.254213,0.5,1.49,1.55,93,2772
2025-01-21,AAPL,2025-02-22,P,149.39,149.39,0.254213,-0.5,1.5,1.54,376,3391
2025-01-21,AAPL,2025-02-22,P,140.43,149.39,0.270606,-0.25,1.59,1.64,381,2839
2025-01-21,AAPL,2025-02-22,P,131.47,149.39,0.277164,-0.1,1.63,1.68,359,4917
2025-01-21,AAPL,2025-03-22,C,167.32,149.39,0.244102,0.1,1.43,1.48,462,2577
2025-01-21,AAPL,2025-03-22,C,158.36,149.39,0.24902,0.25,1.47,1.51,18,3982
2025-01-21,AAPL,2025-03-22,C,149.39,149.39,0.265413,0.5,1.56,1.61,214,2045
2025-01-21,AAPL,2025-03-22,P,149.39,149.39,0.265413,-0.5,1.57,1.61,386,4449
2025-01-21,AAPL,2025-03-22,P,140.43,149.39,0.281806,-0.25,1.66,1.71,80,3416
2025-01-21,AAPL,2025-03-22,P,131.47,149.39,0.288364,-0.1,1.7,1.74,180,4808
2025-01-22,AAPL,2025-02-16,C,167.95,149.95,0.208885,0.1,1.23,1.27,460,4296
2025-01-22,AAPL,2025-02-16,C,158.95,149.95,0.213938,0.25,1.25,1.31,122,1068
2025-01-22,AAPL,2025-02-16,C,149.95,149.95,0.230781,0.5,1.36,1.41,440,3670
2025-01-22,AAPL,2025-02-16,P,149.95,149.95,0.230781,-0.5,1.36,1.41,323,1901
2025-01-22,AAPL,2025-02-16,P,140.96,149.95,0.247625,-0.25,1.46,1.51,45,3711
2025-01-22,AAPL,2025-02-16,P,131.96,149.95,0.254363,-0.1,1.5,1.55,267,3916
2025-01-22,AAPL,2025-02-23,C,167.95,149.95,0.211685,0.1,1.24,1.3,222,532
2025-01-22,AAPL,2025-02-23,C,158.95,149.95,0.216738,0.25,1.27,1.33,350,4329
2025-01-22,AAPL,2025-02-23,C,149.95,149.95,0.233581,0.5,1.37,1.43,251,508
2025-01-22,AAPL,2025-02-23,P,149.95,149.95,0.233581,-0.5,1.38,1.42,216,3720
2025-01-22,AAPL,2025-02-23,P,140.96,149.95,0.250425,-0.25,1.48,1.52,105,4896
2025-01-22,AAPL,2025-02-23,P,131.96,149.95,0.257163,-0.1,1.52,1.57,402,3599
2025-01-22,AAPL,2025-03-23,C,167.95,149.95,0.222885,0.1,1.31,1.37,314,1979
2025-01-22,AAPL,2025-03-23,C,158.95,149.95,0.227938,0.25,1.34,1.39,174,3047
2025-01-22,AAPL,2025-03-23,C,149.95,149.95,0.244781,0.5,1.44,1.49,192,2051
2025-01-22,AAPL,2025-03-23,P,149.95,149.95,0.244781,-0.5,1.44,1.49,288,4677
2025-01-22,AAPL,2025-03-23,P,140.96,149.95,0.261625,-0.25,1.54,1.59,34,991
2025-01-22,AAPL,2025-03-23,P,131.96,149.95,0.268363,-0.1,1.59,1.63,181,1976
2025-01-23,AAPL,2025-02-17,C,166.79,148.92,0.218718,0.1,1.28,1.32,154,3425
